order_id,Customer_ID,Product_ID,Order_Date,Order_Status,Order_Quantity,Unit_Price,Discount,Shipping_Mode,Shipping_Carrier,Shipping_Date_Scheduled,Shipping_Date_Actual,Delivery_Status,Late_Delivery_Risk_Flag,VAT_Rate,COGS,Unit_Price_Effective,Order_Total,VAT_Amount,Profit_Per_Order
ORD0000001,CUST00481,PROD00135,6/16/2023,Completed,8,200.54,0.12,Standard,CarrierA,6/21/2023,6/21/2023,On Time,0,0.19,1510.96,176.4752,1411.8016,268.242304,-99.1584
ORD0000002,CUST00111,PROD00147,9/23/2023,Pending,3,220.96,0.18,Same Day,CarrierB,9/26/2023,9/26/2023,On Time,0,0.2,371.61,181.1872,543.5616,108.71232,171.9516
ORD0000003,CUST00104,PROD00172,12/17/2022,Cancelled,2,15.87,0.09,Economy,CarrierD,12/18/2022,12/20/2022,Late,1,0.2,16.46,14.4417,28.8834,5.77668,12.4234
ORD0000004,CUST00316,PROD00063,10/11/2023,Pending,7,191.91,0.06,Express,CarrierC,10/15/2023,10/19/2023,Late,1,0,1166.2,180.3954,1262.7678,0,96.5678
ORD0000005,CUST00171,PROD00065,10/4/2022,Completed,6,192,0.19,Same Day,CarrierB,10/5/2022,10/5/2022,On Time,0,0.2,358.68,155.52,933.12,186.624,574.44
ORD0000006,CUST00460,PROD00039,9/12/2022,Completed,6,237.02,0.12,Express,CarrierC,9/13/2022,9/13/2022,On Time,0,0.21,830.58,208.5776,1251.4656,262.807776,420.8856
ORD0000007,CUST00492,PROD00109,9/21/2022,Completed,5,169.92,0.21,Express,CarrierC,9/24/2022,9/28/2022,Late,1,0.21,248.1,134.2368,671.184,140.94864,423.084
ORD0000008,CUST00356,PROD00026,11/10/2023,Completed,12,198.49,0.01,Economy,CarrierE,11/15/2023,11/17/2023,Late,1,0.25,1897.32,196.5051,2358.0612,589.5153,460.7412
ORD0000009,CUST00496,PROD00172,11/8/2023,Completed,6,15.87,0.03,Economy,CarrierE,11/11/2023,11/11/2023,On Time,0,0.18,49.38,15.3939,92.3634,16.625412,42.9834
ORD0000010,CUST00324,PROD00012,1/29/2022,Completed,8,299.45,0.1,Standard,CarrierA,2/2/2022,2/6/2022,Late,1,0.21,1553.04,269.505,2156.04,452.7684,603
ORD0000011,CUST00133,PROD00150,4/12/2023,Completed,7,155.09,0.08,Same Day,CarrierA,4/14/2023,4/14/2023,On Time,0,0.1,415.38,142.6828,998.7796,99.87796,583.3996
ORD0000012,CUST00376,PROD00077,2/4/2022,Completed,7,276.15,0.01,Same Day,CarrierB,2/6/2022,2/7/2022,Late,1,0.18,1087.8,273.3885,1913.7195,344.46951,825.9195
ORD0000013,CUST00293,PROD00142,1/19/2024,Completed,3,127.75,0.07,Same Day,CarrierB,1/22/2024,1/23/2024,Late,1,0.2,162.3,118.8075,356.4225,71.2845,194.1225
ORD0000014,CUST00328,PROD00086,10/21/2022,Pending,3,78.62,0.12,Economy,CarrierE,10/25/2022,10/28/2022,Late,1,0.1,205.23,69.1856,207.5568,20.75568,2.3268
ORD0000015,CUST00127,PROD00030,8/25/2023,Completed,8,110.58,0.18,Economy,CarrierC,8/26/2023,8/26/2023,On Time,0,0.19,112.48,90.6756,725.4048,137.826912,612.9248
ORD0000016,CUST00106,PROD00172,7/22/2022,Completed,5,15.87,0.06,Express,CarrierB,7/25/2022,7/28/2022,Late,1,0.1,41.15,14.9178,74.589,7.4589,33.439
ORD0000017,CUST00497,PROD00166,1/10/2024,Completed,4,228.86,0.2,Same Day,CarrierD,1/12/2024,1/15/2024,Late,1,0.18,671.52,183.088,732.352,131.82336,60.832
ORD0000018,CUST00092,PROD00187,7/19/2024,Completed,7,210.26,0.21,Express,CarrierA,7/24/2024,7/27/2024,Late,1,0.19,1150.52,166.1054,1162.7378,220.920182,12.2178
ORD0000019,CUST00287,PROD00170,3/9/2022,Pending,8,135.28,0.06,Same Day,CarrierE,3/15/2022,3/15/2022,On Time,0,0.22,961.76,127.1632,1017.3056,223.807232,55.5456
ORD0000020,CUST00378,PROD00052,5/11/2022,Completed,3,216.99,0.1,Same Day,CarrierB,5/14/2022,5/17/2022,Late,1,0.2,468.45,195.291,585.873,117.1746,117.423
ORD0000021,CUST00393,PROD00063,5/26/2024,Completed,2,191.91,0.24,Standard,CarrierE,6/1/2024,6/4/2024,Late,1,0.25,333.2,145.8516,291.7032,72.9258,-41.4968
ORD0000022,CUST00051,PROD00189,4/21/2022,Completed,4,222.12,0.15,Standard,CarrierC,4/22/2022,4/22/2022,On Time,0,0.21,433.12,188.802,755.208,158.59368,322.088
ORD0000023,CUST00029,PROD00120,6/8/2023,Pending,2,151.46,0.11,Express,CarrierA,6/10/2023,6/12/2023,Late,1,0.18,220.34,134.7994,269.5988,48.527784,49.2588
ORD0000024,CUST00462,PROD00105,10/15/2022,Completed,5,292.26,0.17,Standard,CarrierA,10/18/2022,10/20/2022,Late,1,0.25,909.9,242.5758,1212.879,303.21975,302.979
ORD0000025,CUST00296,PROD00162,11/18/2023,Completed,1,226.58,0.1,Same Day,CarrierB,11/24/2023,11/27/2023,Late,1,0.22,128.3,203.922,203.922,44.86284,75.622
ORD0000026,CUST00297,PROD00039,4/10/2024,Completed,4,237.02,0.25,Economy,CarrierD,4/15/2024,4/16/2024,Late,1,0.2,553.72,177.765,711.06,142.212,157.34
ORD0000027,CUST00214,PROD00041,10/28/2023,Completed,3,170.17,0.01,Standard,CarrierC,10/30/2023,11/2/2023,Late,1,0.1,86.4,168.4683,505.4049,50.54049,419.0049
ORD0000028,CUST00267,PROD00121,2/12/2022,Completed,3,247.09,0.03,Economy,CarrierC,2/13/2022,2/15/2022,Late,1,0.1,487.35,239.6773,719.0319,71.90319,231.6819
ORD0000029,CUST00407,PROD00108,5/24/2024,Pending,4,204.16,0.19,Standard,CarrierE,5/30/2024,6/1/2024,Late,1,0.1,609.32,165.3696,661.4784,66.14784,52.1584
ORD0000030,CUST00257,PROD00165,12/18/2023,Completed,8,164.12,0.2,Economy,CarrierC,12/24/2023,12/26/2023,Late,1,0.25,180.88,131.296,1050.368,262.592,869.488
ORD0000031,CUST00302,PROD00065,11/15/2023,Completed,4,192,0.13,Economy,CarrierA,11/19/2023,11/20/2023,Late,1,0.22,239.12,167.04,668.16,146.9952,429.04
ORD0000032,CUST00101,PROD00118,10/21/2022,Cancelled,5,71.51,0.07,Standard,CarrierB,10/22/2022,10/26/2022,Late,1,0.2,206.9,66.5043,332.5215,66.5043,125.6215
ORD0000033,CUST00405,PROD00079,10/12/2022,Completed,9,181.69,0.18,Economy,CarrierD,10/15/2022,10/15/2022,On Time,0,0.2,674.1,148.9858,1340.8722,268.17444,666.7722
ORD0000034,CUST00346,PROD00160,4/2/2024,Completed,2,235.44,0.05,Express,CarrierD,4/6/2024,4/8/2024,Late,1,0.1,294,223.668,447.336,44.7336,153.336
ORD0000035,CUST00110,PROD00008,7/18/2023,Completed,6,275.11,0.06,Standard,CarrierE,7/21/2023,7/21/2023,On Time,0,0.1,1043.4,258.6034,1551.6204,155.16204,508.2204
ORD0000036,CUST00420,PROD00097,9/19/2023,Completed,3,223.58,0.2,Express,CarrierA,9/23/2023,9/25/2023,Late,1,0.2,320.79,178.864,536.592,107.3184,215.802
ORD0000037,CUST00182,PROD00018,1/19/2022,Completed,9,220.57,0.17,Express,CarrierC,1/23/2022,1/23/2022,On Time,0,0.1,965.97,183.0731,1647.6579,164.76579,681.6879
ORD0000038,CUST00471,PROD00173,5/22/2023,Completed,10,123.55,0.14,Same Day,CarrierD,5/23/2023,5/24/2023,Late,1,0.18,1048.6,106.253,1062.53,191.2554,13.93
ORD0000039,CUST00313,PROD00096,7/1/2023,Completed,6,182.02,0.04,Standard,CarrierD,7/2/2023,7/3/2023,Late,1,0,607.74,174.7392,1048.4352,0,440.6952
ORD0000040,CUST00001,PROD00033,2/17/2022,Completed,4,106.34,0.21,Same Day,CarrierD,2/18/2022,2/20/2022,Late,1,0.1,70.76,84.0086,336.0344,33.60344,265.2744
